https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1636070400000,2021-11-05 00:00:00,ETH/USDT,4532.31000000,4570.05000000,4438.80000000,4474.24000000,305651.72440000,1375503505.22794700,893068
1635984000000,2021-11-04 00:00:00,ETH/USDT,4603.35000000,4606.65000000,4420.08000000,4532.32000000,368218.25695000,1663942873.79303600,1019675
1635897600000,2021-11-03 00:00:00,ETH/USDT,4589.68000000,4665.87000000,4455.00000000,4603.35000000,448658.35125000,2051737308.01262490,1580640
1635811200000,2021-11-02 00:00:00,ETH/USDT,4319.43000000,4599.60000000,4284.43000000,4589.89000000,468184.79301000,2083371519.80682720,1657233
1635724800000,2021-11-01 00:00:00,ETH/USDT,4287.48000000,4386.58000000,4146.30000000,4319.43000000,417620.70730000,1794319887.30236000,1134036
1635638400000,2021-10-31 00:00:00,ETH/USDT,4322.68000000,4399.14000000,4164.35000000,4287.21000000,412856.28930000,1764886607.68762400,1303438
1635552000000,2021-10-30 00:00:00,ETH/USDT,4418.89000000,4434.06000000,4232.20000000,4322.68000000,340223.06900000,1469664811.93683500,1035476
1635465600000,2021-10-29 00:00:00,ETH/USDT,4286.01000000,4460.47000000,4265.97000000,4418.89000000,559231.07691000,2440933126.04865530,1799386
1635379200000,2021-10-28 00:00:00,ETH/USDT,3921.99000000,4295.00000000,3890.17000000,4286.02000000,626378.50550000,2587268364.26143900,1711575
1635292800000,2021-10-27 00:00:00,ETH/USDT,4131.52000000,4307.00000000,3909.00000000,3922.00000000,704604.25000000,2874313313.39805800,1872190
1635206400000,2021-10-26 00:00:00,ETH/USDT,4220.36000000,4297.00000000,4090.21000000,4131.52000000,414498.15990000,1739912498.46991500,1285913
1635120000000,2021-10-25 00:00:00,ETH/USDT,4082.33000000,4236.00000000,4067.71000000,4220.37000000,347438.65340000,1445430078.54488000,939963
1635033600000,2021-10-24 00:00:00,ETH/USDT,4167.13000000,4186.57000000,3961.50000000,4082.33000000,350115.83860000,1421627004.33480300,917969
1634947200000,2021-10-23 00:00:00,ETH/USDT,3972.19000000,4172.00000000,3937.51000000,4167.12000000,326576.96010000,1323345505.75751700,940891
1634860800000,2021-10-22 00:00:00,ETH/USDT,4053.00000000,4167.41000000,3888.00000000,3972.20000000,463222.54280000,1872218697.85109700,1133846
1634774400000,2021-10-21 00:00:00,ETH/USDT,4161.37000000,4375.00000000,4013.13000000,4052.99000000,798566.55805000,3335123440.99821210,2380751
1634688000000,2021-10-20 00:00:00,ETH/USDT,3876.98000000,4169.00000000,3828.05000000,4161.15000000,537383.09732000,2149449047.36731050,1766454
1634601600000,2021-10-19 00:00:00,ETH/USDT,3744.96000000,3886.89000000,3732.00000000,3877.03000000,341268.37230000,1300066269.93314200,925015
1634515200000,2021-10-18 00:00:00,ETH/USDT,3847.00000000,3893.14000000,3676.00000000,3744.96000000,401819.97340000,1520728621.31032800,994548
1634428800000,2021-10-17 00:00:00,ETH/USDT,3829.96000000,3919.19000000,3640.00000000,3846.85000000,368898.98310000,1406207658.84076800,1025324
1634342400000,2021-10-16 00:00:00,ETH/USDT,3868.38000000,3971.00000000,3803.56000000,3829.96000000,373727.85490000,1452752901.39764800,1037769
1634256000000,2021-10-15 00:00:00,ETH/USDT,3790.82000000,3907.77000000,3734.10000000,3868.99000000,504321.73200000,1924965953.85849900,1399937
1634169600000,2021-10-14 00:00:00,ETH/USDT,3607.41000000,3824.00000000,3586.04000000,3790.82000000,481894.14730000,1792792932.94418900,1430307
1634083200000,2021-10-13 00:00:00,ETH/USDT,3491.43000000,3613.00000000,3412.70000000,3607.42000000,393463.12220000,1376610269.51640800,902525
1633996800000,2021-10-12 00:00:00,ETH/USDT,3542.12000000,3547.11000000,3403.21000000,3491.46000000,409377.19180000,1425455761.40661800,925699
1633910400000,2021-10-11 00:00:00,ETH/USDT,3414.22000000,3623.80000000,3371.00000000,3542.12000000,493521.88200000,1743391083.65880800,1110340
1633824000000,2021-10-10 00:00:00,ETH/USDT,3574.83000000,3604.00000000,3405.00000000,3414.22000000,580223.63020000,2049128230.34425900,1765439
1633737600000,2021-10-09 00:00:00,ETH/USDT,3563.13000000,3635.00000000,3538.07000000,3574.82000000,361906.75140000,1299757023.49916300,1175683
1633651200000,2021-10-08 00:00:00,ETH/USDT,3587.47000000,3695.00000000,3532.00000000,3563.13000000,403597.14370000,1455713871.28828300,1084792
1633564800000,2021-10-07 00:00:00,ETH/USDT,3574.88000000,3653.98000000,3470.80000000,3587.47000000,486102.35910000,1736906584.27609000,1252503
1633478400000,2021-10-06 00:00:00,ETH/USDT,3515.48000000,3632.11000000,3342.00000000,3574.89000000,618265.54020000,2172519696.56298500,1444856
1633392000000,2021-10-05 00:00:00,ETH/USDT,3386.31000000,3545.00000000,3363.78000000,3515.27000000,393900.88180000,1355905889.61094700,1025512
1633305600000,2021-10-04 00:00:00,ETH/USDT,3417.73000000,3437.19000000,3270.00000000,3386.31000000,485204.64200000,1631562261.55497600,1090407
